+---+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+-----+------+-----+------+-----+-----+------+------+-----+------+------+
|   |  а   |  б   |  в   |  г   |  д   |  е   |  ж   |  з   |  и   |  й   |  к   |  л   |  м   |  н   |  о   |  п   |  р   |  с   |  т   |  у   |  ф  |  х   |  ц  |  ч   |  ш  |  щ  |  ы   |  ь   |  э  |  ю   |  я   |
| х | 252  |  67  | 314  |  76  | 105  |  68  |  12  |  90  | 287  |  0   | 147  | 175  | 201  | 447  | 1561 | 309  | 212  | 288  | 119  | 111  |  17 |  14  |  8  |  59  |  28 |  1  |  0   |  12  |  30 |  2   |  20  |
| ц | 311  |  4   |  59  |  2   |  4   | 554  |  1   |  3   | 383  |  0   |  15  |  0   |  3   |  11  | 108  |  12  |  1   |  14  |  27  |  92  |  0  |  0   |  1  |  3   |  0  |  0  | 148  |  0   |  0  |  0   |  4   |
| ч | 1175 |  0   |  9   |  0   |  1   | 2239 |  0   |  0   | 1493 |  0   | 293  |  63  |  4   | 792  | 101  |  2   |  9   |  0   | 2307 | 454  |  0  |  0   |  0  |  0   | 115 |  0  |  0   | 177  |  0  |  0   |  0   |
| ш | 608  |  1   |  29  |  1   |  5   | 1397 |  1   |  0   | 1266 |  0   | 829  | 340  |  40  | 234  | 133  |  15  |  10  |  7   |  50  | 240  |  1  |  0   |  8  |  3   |  0  |  0  |  0   | 449  |  1  |  3   |  1   |
| щ | 322  |  0   |  2   |  1   |  0   | 1276 |  0   |  2   | 650  |  0   |  0   |  0   |  1   |  83  |  2   |  1   |  5   |  0   |  1   | 174  |  0  |  0   |  0  |  0   |  0  |  0  |  0   |  53  |  0  |  0   |  0   |
| ы |  26  | 298  | 1076 | 164  | 230  | 808  | 109  | 188  | 224  | 950  | 327  | 1362 | 1217 | 518  | 295  | 465  | 272  | 739  | 889  | 127  |  11 | 759  |  10 | 233  | 275 |  12 |  0   |  0   |  27 |  2   |  38  |
| ь |  73  | 294  | 1003 | 132  | 330  | 597  |  59  | 398  | 526  |  1   | 1131 | 119  | 772  | 2145 | 705  | 816  | 297  | 1936 | 443  | 189  |  20 |  80  | 126 | 406  | 360 |  9  |  0   |  0   | 117 | 386  | 323  |
| э |  0   |  1   |  0   |  38  |  0   |  0   |  0   |  34  |  0   |  18  |  61  |  23  |  40  |  24  |  0   |  17  |  15  |  5   | 1487 |  0   |  15 |  4   |  0  |  0   |  2  |  0  |  0   |  0   |  0  |  0   |  0   |
| ю |  32  | 319  | 153  |  65  | 282  |  38  |  50  |  79  | 156  |  3   | 210  |  55  | 120  | 196  | 132  | 258  | 122  | 285  | 322  |  36  |  18 |  30  |  6  | 234  |  11 | 473 |  0   |  0   |  25 |  39  |  20  |
| я |  56  | 307  | 1266 | 249  | 861  | 282  | 154  | 554  | 502  |  24  | 589  | 604  | 607  | 1202 | 576  | 857  | 320  | 1219 | 1229 | 156  |  28 | 230  |  52 | 290  |  42 | 210 |  0   |  0   |  80 |  86  | 163  |
+---+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+------+-----+------+-----+------+-----+-----+------+------+-----+------+------+
